C_Cpp,Java,Python,HTML_CSS,UI_UX,Javascript,Numpy_Pandas,Scikit_learn,MERN,Linux,Cloud_Platforms,App_development,Number_of_Contest_attempted,LC_Contest_rating,Leetcode_Medium_problems,Skills_rating
0,1,1,1,0,0,0,0,0,0,1,0,16,1304.0,178,5.52
1,1,1,0,0,0,0,0,0,1,0,0,35,1740.0,151,5.72
1,0,1,1,0,1,1,0,0,1,0,1,5,1414.0,184,7.71
1,1,1,1,0,1,0,0,0,1,0,0,0,1500.0,236,7.11
0,0,1,1,0,1,0,0,0,0,0,1,1,1513.0,241,5.14
0,1,0,1,0,0,1,0,0,1,0,0,10,1450.0,275,5.16
0,0,1,1,1,0,1,1,0,0,0,0,7,1593.0,129,6.28
1,0,1,1,0,0,0,1,0,1,0,1,5,1339.0,140,5.39
1,1,0,1,0,0,1,0,0,0,0,1,0,1500.0,216,5.85
1,1,0,1,0,0,0,0,0,1,0,1,34,1603.0,191,5.65
0,1,0,1,0,1,0,0,1,1,1,1,21,1662.0,157,9.42
1,0,0,1,0,1,1,0,0,1,0,0,0,1500.0,169,4.69
1,1,0,0,0,1,1,1,1,1,0,1,2,1485.0,214,9.88
0,0,1,1,0,0,1,0,1,0,0,1,7,1564.0,144,5.91
0,1,1,0,0,0,0,0,0,0,0,0,4,1711.0,229,4.57
0,1,1,0,1,1,1,0,0,0,0,1,3,1672.0,184,7.61
0,1,1,1,0,1,0,0,0,0,0,1,13,1647.0,156,5.09
0,1,1,0,1,1,0,0,0,0,1,0,0,1500.0,123,5.77
0,0,1,1,0,1,1,0,0,0,0,0,5,1621.0,210,6.11
0,0,1,0,0,1,0,0,1,1,0,1,0,1500.0,168,5.83
1,0,1,1,0,0,1,0,0,1,0,0,0,1500.0,122,4.3
0,1,1,0,0,0,0,0,1,0,0,0,5,1539.0,182,5.44
0,0,0,1,0,1,0,0,1,0,0,1,0,1500.0,280,6.38
0,0,1,0,0,0,1,0,0,0,0,0,0,1500.0,110,2.14
0,0,0,1,0,0,1,0,0,0,0,0,6,1686.0,245,4.06
1,1,1,0,0,0,0,1,0,1,1,0,47,1974.0,258,10.0
0,1,0,1,0,0,0,0,0,0,0,0,10,1467.0,145,3.35
0,1,0,0,0,1,1,0,0,1,0,1,0,1500.0,232,6.76
1,0,1,1,0,0,0,1,1,0,0,0,3,1367.0,252,7.2
0,1,1,1,0,0,0,1,0,1,0,0,3,1652.0,122,5.73
1,1,1,0,1,1,0,1,0,1,0,0,0,1500.0,161,6.77
0,1,0,0,0,1,0,0,1,1,0,1,0,1500.0,210,6.85
0,0,0,1,0,1,1,0,0,0,1,1,0,1500.0,296,7.89
1,0,0,0,0,1,0,0,0,0,0,1,6,1482.0,197,4.67
