CGPA,Internship,Paid_Internship,Projects,Workshop_Certification,Aptitude_Score,Skills_Rating,Placement_Training,SSC_Marks,Gender,Placement_Status
8.19,0,0,4,6,74.72,6.55,Not Attended,83.94,Male,Placed
7.17,0,0,3,8,68.51,6.79,Attended,67.28,Male,Placed
9.02,1,0,5,7,85.67,7.79,Attended,60.86,Male,Placed
8.44,1,0,4,7,55.29,6.47,Attended,76.2,Female,Placed
8.63,1,0,5,8,70.58,7.54,Attended,95.0,Female,Placed
8.58,1,0,2,7,60.59,6.34,Attended,73.3,Female,Placed
6.87,0,0,1,3,41.76,5.92,Attended,60.35,Female,Not Placed
7.85,1,0,1,0,60.63,6.56,Attended,71.53,Male,Not Placed
7.91,1,1,3,0,50.2,4.96,Not Attended,62.76,Male,Not Placed
7.45,0,0,5,5,67.72,9.96,Attended,68.31,Male,Placed
6.23,0,0,2,8,59.22,7.55,Attended,70.39,Male,Placed
8.11,1,0,4,8,74.57,5.23,Attended,82.62,Female,Placed
8.2,1,0,3,6,47.24,6.65,Not Attended,65.23,Female,Placed
7.02,1,0,4,7,62.36,5.93,Attended,60.0,Female,Placed
8.42,0,0,1,6,78.75,5.07,Attended,74.36,Male,Placed
8.72,1,1,5,6,54.41,8.39,Attended,79.73,Male,Placed
6.51,0,0,5,8,76.55,8.78,Attended,71.54,Female,Placed
9.59,1,0,5,5,77.01,6.4,Attended,93.43,Male,Placed
8.96,0,0,3,8,53.95,8.18,Attended,72.99,Male,Placed
6.27,0,0,1,5,62.32,7.7,Attended,77.08,Female,Placed
8.87,0,0,5,6,54.3,7.19,Attended,67.92,Female,Placed
8.66,0,0,1,6,73.02,7.96,Attended,82.17,Male,Placed
8.91,0,0,2,6,70.95,6.82,Not Attended,82.95,Female,Placed
7.91,0,0,4,7,51.26,8.56,Attended,75.56,Female,Placed
8.71,2,0,5,8,58.22,5.88,Not Attended,77.79,Male,Placed
7.82,0,0,4,6,69.75,7.41,Attended,73.88,Female,Placed
7.35,0,0,3,5,68.37,7.0,Attended,64.43,Male,Placed
7.38,0,0,4,6,83.9,6.34,Attended,92.36,Female,Placed
6.43,1,1,4,6,54.03,5.87,Not Attended,71.69,Male,Placed
6.57,1,0,3,3,67.71,4.35,Not Attended,87.77,Female,Not Placed
7.79,1,0,1,5,55.14,6.45,Not Attended,62.4,Male,Placed
6.18,1,0,5,8,67.54,6.37,Attended,84.03,Female,Placed
7.85,0,0,3,0,50.58,4.65,Not Attended,82.0,Male,Not Placed
9.17,0,0,5,6,77.05,8.27,Not Attended,79.28,Male,Placed
6.97,0,0,5,8,65.99,7.01,Attended,65.75,Male,Placed
7.25,1,0,4,6,78.5,5.83,Not Attended,84.88,Male,Placed
8.2,0,0,2,2,74.15,5.16,Not Attended,65.95,Male,Not Placed
6.0,0,0,4,7,61.85,6.43,Attended,89.14,Male,Placed
7.27,0,0,4,6,72.79,5.66,Attended,79.63,Male,Placed
8.16,0,0,5,7,95.92,7.3,Attended,67.8,Male,Placed
7.13,0,0,3,0,100.0,5.97,Not Attended,64.14,Male,Not Placed
6.64,0,0,1,5,59.33,9.01,Attended,76.18,Male,Placed
7.36,0,0,2,2,48.64,9.98,Not Attended,68.36,Female,Not Placed
6.35,1,0,2,8,91.13,6.29,Attended,75.95,Female,Placed
7.47,0,0,4,1,78.01,6.19,Not Attended,75.26,Female,Not Placed
9.57,0,0,3,1,74.79,4.19,Not Attended,61.19,Male,Not Placed
10.0,0,0,5,6,82.4,6.63,Attended,60.0,Male,Placed
7.89,1,0,4,6,73.68,9.23,Attended,76.43,Male,Placed
8.73,0,0,5,7,57.93,6.51,Attended,76.61,Male,Placed
6.94,1,0,4,5,79.64,7.97,Attended,87.43,Male,Placed
6.04,1,0,3,2,52.27,5.8,Attended,79.22,Male,Not Placed
9.31,0,0,4,8,40.74,7.52,Attended,86.58,Male,Placed
7.68,0,0,5,8,65.1,4.64,Attended,69.58,Male,Placed
8.52,0,0,5,6,60.32,8.59,Attended,69.01,Male,Placed
6.14,0,0,2,1,73.52,3.69,Not Attended,88.47,Female,Not Placed
8.99,1,0,2,7,51.05,7.3,Not Attended,78.54,Male,Placed
8.75,0,0,5,7,59.9,8.7,Attended,77.38,Female,Placed
8.09,0,0,1,8,76.72,7.57,Attended,65.56,Female,Placed
6.34,0,0,1,5,54.2,4.03,Attended,62.74,Male,Not Placed
8.78,0,0,1,4,69.29,7.66,Not Attended,60.0,Male,Not Placed
7.6,0,0,5,5,65.96,7.03,Attended,95.0,Male,Placed
9.52,1,1,3,8,77.45,4.55,Attended,77.59,Male,Placed
7.52,0,0,4,6,72.26,8.18,Attended,73.32,Male,Placed
8.03,0,0,5,7,55.05,7.4,Attended,81.23,Male,Placed
7.68,1,0,3,1,69.29,8.06,Not Attended,80.53,Female,Not Placed
7.53,0,0,3,1,76.58,6.54,Attended,78.07,Male,Not Placed
9.47,0,0,3,6,74.59,7.85,Attended,68.95,Male,Placed
6.79,0,0,3,2,69.42,5.04,Not Attended,72.35,Male,Not Placed
10.0,0,0,5,6,65.39,6.2,Attended,80.74,Male,Placed
7.1,0,0,5,3,29.77,6.08,Not Attended,60.7,Male,Not Placed
7.41,0,0,1,3,62.07,4.22,Attended,88.44,Male,Not Placed
